 ,Category,Organization,Start Date,End Date,Location,Description,URL,Graduate Credit,Emily: 👍
Educating Global Citizens,"Global Studies, Pedagogy",Harvard Graduate School of Education,"Monday, November 5, 2018","Sunday, November 18, 2018",Online,"Based upon the work of Professor Fernando Reimers and the Think Tank on Global Education, the program provides strategies for promoting global competence in classrooms and schools.

Overview
How can we prepare our students to be engaged global citizens? What is global competence and how can we cultivate it in our students? How can we make the case for global education in schools?

Educating Global Citizens, an online professional development program for K-12 teachers, instructional coaches, and school leaders, begins with an introduction to global education. Professor Reimers and other specialists then focus the conversation on global competence, what it is and why it is important. Participants will identify barriers to global education in their context and will learn from examples of schools already incorporating global competence in K-12 systems. Finally, participants will explore strategies for advancing global education, building a toolkit to inform their future work.

The program is a mix of self-paced learning, facilitated group discussion, and job-embedded learning that will help educators understand, advocate for, and implement strategies for global competence with their students. Participants will learn tools and tips from the online lessons that they can weave directly into practice in their classrooms or schools.

Program Details
This two-week online workshop includes a mix of self-paced learning, group discussion, and job-embedded application. Activities include:

Video lectures from from Fernando Reimers and other experts on global education
Research summaries and assigned readings
Self-assessment and reflection prompts
Facilitated cohort discussions
Job-embedded practice, where you will apply the concepts and techniques learned*
A core part of the HGSE experience is cohort learning, and this curriculum is designed to create a community of practice for participants to learn with and from each other.

The online workshop will require a total of 5-7 hours of work. Participants who complete all individual assessments and contribute to group discussions will receive a certificate indicating completion of five clock hours of instruction.",https://www.gse.harvard.edu/ppe/program/educating-global-citizens,,
Advisory is Essential 201,"Leadership, Pedagogy, School Design, Counseling",Wildwood School,"Tuesday, November 6, 2018",,"Los Angeles, CA","Already have a program in place that needs a tune-up?

Our advanced, 1-day session provides strategies to strengthen and sustain your existing advisory program, as well as to hone your facilitation skills. Participants will:

Observe Wildwood advisories

Focus on applying current Advisory research and best practices

Apply Advisory and classroom facilitation protocols to strengthen their existing programs",https://www.wildwood.org/page.cfm?p=1627#Adv201,,
Teaching American History: Online Webinars - Frederick Douglass vs. William Lloyd Garrison – Great American Debates,"History, Humanities",Ashbrook Center at Ashland University,"Saturday, November 10, 2018",,Online,"How should the abolition movement look? How should opponents of slavery view the Declaration of Independence, the Constitution, and American government as a whole? Two former allies charted different intellectual courses in response to these questions, as each worked to end the blight that slavery was on the America of their times.

Suggested Readings (go to website for links): 
Documents and Debates, Vol. 1: Ch. 12, “The Peculiar Institution: Positive Good or Pernicious Sin?” documents A, B, C, D, E, and F
To the Public, 1831, William Lloyd Garrison
On the Constitution and the Union, 1832, William Lloyd Garrison
Declaration of Sentiments Adopted by the Peace Convention, 1838, William Lloyd Garrison
Address to the Slaves of the United States, 1843, William Lloyd Garrison
The American Union, 1845, William Lloyd Garrison
The Constitution and Slavery, 1849, Frederick Douglass

Scholars
Christopher Burkett, Ashland University
Peter Myers, University of Wisconsin Eau-Claire
Lucas Morel, Washington and Lee University",http://teachingamericanhistory.org/event/webinar-frederick-douglass-vs-william-lloyd-garrison/,,
Brave New Worlds: Augmented and Virtual Reality in Teaching and Learning,"STEM, Technology, Innovation",Wildwood School,"Tuesday, November 13, 2018",,"Los Angeles, CA","Isn't it time you gave it a try?
This half-day workshop immerses participants in Augmented Reality and Virtual Reality (AR/VR) learning environments: What’s available, examples of student work, and how to bring it to one’s own practice—across the curriculum.

Participants will experience the AR/VR platforms of Metaverse, Google Expeditions, and ARkit,
Try devices like The Oculus Rift, HoloLens, and more.
No experience with AR/VR necessary—just a healthy curiosity.

For grades K-12",https://www.wildwood.org/page.cfm?p=1627#Brave,,
CETPA Annual Conference,"STEM, Technology",The California Educational Technology Professionals Association (CETPA),"Tuesday, November 13, 2018","Friday, November 16, 2018","Pasadena, CA","CETPA is the only association in California focusing on the needs of the IT Professionals working in schools. 

Attendees of this conference support all facets of IT including CTOs and Directors of Technology, Network Managers and Engineers, Data Base Administrators, Support, and Technicians.  We also attract the Classroom Teacher, Administrators, and District and County Superintendents. All of these groups converge to share ideas and information and find out the latest, best technology tools to help improve teaching, learning, and administration. In addition, we have an impressive list of exhibitors and vendors providing the latest products and services.  Anyone interested in the effective use of technology in schools is welcome!",http://cetpa.net/CETPA/Events/2018_Conference_Information/CETPA/Events/2018_Annual_Conference/2018_Exhibitors_Show.aspx?hkey=9d871fc5-fe89-4b53-a9f9-cd16da6c1b49,,
Teaching American History: Online Webinars - Bill of Rights – Documents in Detail,"History, Humanities",Ashbrook Center at Ashland University,"Wednesday, November 14, 2018",,Online,"Focus Document
Bill of Rights, 1791

Complementary Documents
Virginia Declaration of Rights, 1776
Speech on Amendments to the Constitution, James Madison, 1789

Scholars
Dr. John Moser, Ashland University
Dr. Jeff Sikkenga, Ashland University
Dr. Adam Seagrave, University of Missouri",http://teachingamericanhistory.org/event/webinar-bill-of-rights-documents-in-detail/,,
Massachusetts STEM Summit,"STEM, Science, Math, Technology","Massachusetts Business Roundtable, the Massachusetts STEM Advisory Council, and the UMass Donahue Institute","Wednesday, November 14, 2018",,"Worcester, MA","The annual Massachusetts STEM Summit promotes Science, Technology, Engineering and Math education and workforce development from early childhood through adulthood. The theme for this year’s Summit – Progress Through Partnership – celebrates the rich tradition of creative collaboration that has been the hallmark of the Commonwealth’s powerful STEM movement since its earliest inception.

The Summit itself, hosted and organized for 14 years by a strong education-business-government partnership, exemplifies the power of strategic, purposeful, cross-sector collaboration. Over the years, the Summit has presented countless examples of initiatives in which partners from diverse sectors have come together to leverage each other’s complementary strengths, expertise, and resources. These cooperative efforts have yielded innovative, dynamic, and effective STEM programs for in-school and out-of-school education, and workforce development. Whether large or small, statewide or local, public or private, partnerships of diverse stakeholders remain crucial to the state’s continued STEM success. Throughout this year’s Summit - through talks, presentations and exhibits - we look to showcase many more of these unique partnerships and their exciting, cutting-edge programs, and collaborations.",http://mass-stem-summit.org/,,
"Student-Teacher Synergy: A Key Driver of Exceptional, Innovative Schools","Pedagogy, Leadership",Association of Independent Schools New England (AISNE),"Thursday, November 15, 2018",,TBD,"Registration & Breakfast: 8:15 - 9:00 a.m.
Workshop begins: 9:00 a.m.

We often know what it's going to take to improve our schools and make them exceptional; yet we still need to get better at convincing ourselves and other stakeholders to get on board. Jennifer Gonzalez will share lessons from change management theory and tools to help you:
Meeting evolving student needs
Strengthen student-teacher partnerships
Build the support and momentum necessary to advance tangible innovations within your school
Leverage the latest related technologies and practices
In this session, participants learn techniques and have an opportunity to practice them. This high-energy workshop is a great way to build staff morale while learning valuable classroom techniques.
Facilitated by: Jennifer Gonzalez",https://www.aisne.org/events/workshops/nov-2018-student-teacher-synergy,,
Advisory is Essential 101,"Leadership, Pedagogy, School Design, Counseling",Wildwood School,"Thursday, November 15, 2018","Friday, November 16, 2018","Los Angeles, CA","Just starting out? Want a complete program re-design?

Choose this in-depth, 2-day session to create an advisory program that fits your school—public, charter, or private—and leave with a plan to succeed. Participants will: Observe Wildwood middle and high school advisories; analyze current research on advisory and best practices; learn from Wildwood advisors and students; practice advisory and classroom facilitation protocols; generate a plan to implement your program.

",http://www.wildwood.org/page.cfm?p=1627#Adv101,,
National Council of Teachers of English Annual Convention,"Humanities, Literature, Writing",National Council of Teachers of English,"Thursday, November 15, 2018","Sunday, November 18, 2018","Houston, TX","""Raising Student Voice""",http://convention.ncte.org/,,
"National Science Teachers Association (NSTA) Area Conference: ""Science Education: A National Priority""","STEM, Science",National Science Teachers Association (NSTA),"Thursday, November 15, 2018","Saturday, November 17, 2018","National Harbor, MD","NSTA conferences offer the latest in science content, teaching strategy, and research to enhance and expand your professional growth. Take advantage of this unique opportunity to collaborate with science education leaders and your peers. Each year, NSTA hosts a national conference on science education (in the spring), three area conferences (in the fall), and a STEM Forum & Expo.",http://www.nsta.org/conferences/area2.aspx,,
"Reaching for Greatness: Unleash Potential, Passions, and Creative Talents in Students with Cognitive Science","Counseling, Health, Pedagogy, STEM, Technology, Science",Learning & The Brain,"Friday, November 16, 2018","Sunday, November 18, 2018","Boston, MA","Researchers in cognitive and psychological sciences are exploring the “Science of Human Greatness.” By studying child prodigies, savants, and great innovators like Benjamin Franklin and Albert Einstein, scientists are trying to answer the complex questions of human potential: What makes a person a “creative genius”? Is “greatness” the result of innate talents or practice? Research has found that passion, interest, genes, abilities, practice, persistence, and parent/teacher support all contribute to reaching full potential, and that everyone's inborn creativity and talents can be cultivated. Yet, many children's talents and passions are ignored in schools. Explore the science behind child potential, prodigies, gifted, and genius. Discover how you can unleash and nurture your own and your students' passions, interests, expertise, and creative talents, and find out how schools can help children and youth reach their full potential.


LEARNING OBJECTIVES
You will gain knowledge about:
The science of human greatness, talents, and abilities
Ways schools can help students reach their full potential
The importance of promoting personal passions and interests
Ways to teach for wisdom, intelligence, creativity, and innovation
How the mistakes of great minds can motivate student learning
The link between learning disorders, autism, and creative genius
Using art, STEAM, and technology to engage children's interests
The human brain, abilities, genes, intelligence, and environment
Developing the talents of the gifted children, prodigies, and savants
Innate talents vs. deliberate practice in expert performance
Personalizing learning, reading, and writing",https://www.learningandthebrain.com/education-conferences,,
Annual Convention and World Languages Expo,Language,American Council on the Teaching of Foreign Language,"Friday, November 16, 2018","Sunday, November 18, 2018","New Orleans, LA","The ACTFL Annual Convention and World Languages Expo is an international event bringing together more than 7,000 language educators from all languages, levels, and assignments. Our goal is to provide a comprehensive professional development experience that will have an impact on language educators at all levels of teaching and in turn help their students to succeed in their language learning process. Come participate in the world’s most comprehensive language education meeting of the minds featuring more than 800 educational sessions in a variety of formats that focus on innovative programs, emerging trends that impact the language profession, and research-informed practices. ",https://www.actfl.org/convention-expo,,
JEA/NSPA National High School Journalism Convention,"Humanities, Writing, Journalism",Journalism Education Association and National Scholastic Press Association,"Friday, November 16, 2018","Monday, November 19, 2018","Dallas, TX","The National High School Journalism Convention is a semiannual gathering of high school journalists and advisers co-sponsored by the Journalism Education Association and the National Scholastic Press Association. With typical attendance of more than 4,000 delegates, the JEA/NSPA convention is the largest gathering of student journalists in the country.
The associations partner to prepare hundreds of practical and professional learning sessions, from high-profile keynotes to specific, problem-solving breakouts and hands-on workshops.",http://journalismconvention.org/,,
"2018 People of Color Conference - Equitable Schools and Inclusive Communities: Harmony, Discord, and the Notes in Between","Diversity/Equity/Inclusion, Leadership",National Association of Independent Schools (NAIS),"Wednesday, November 28, 2018",12/1,"Nashville, TN","The NAIS People of Color Conference is the flagship of the National Association of Independent Schools' commitment to equity and justice in teaching and learning. The mission of the conference is to provide a safe space for leadership and professional development and networking for people of color and allies of all backgrounds in independent schools. PoCC equips educators at every level, from teachers to trustees, with knowledge, skills, and experiences to improve and enhance the interracial, interethnic, and intercultural climate in their schools, as well as the attending academic, social-emotional, and workplace performance outcomes for students and adults alike.",http://pocc.nais.org/#,,
National Council of Teachers of Mathematics Regional Conferences,"STEM, Math",National Council of Teachers of Mathematics,"Wednesday, November 28, 2018","Friday, November 30, 2018","Seattle, WA","Join us to connect face-to-face with your peers in education and to focus on the learning and resources that promote the mathematical habits of mind that will lead your students to college and career success.

Whether you're a classroom teacher, math coach, administrator, math teacher educator, teacher-in-training, or math specialist, there's something for you at the NCTM Regional Conferences & Expositions.",http://www.nctm.org/Conferences-and-Professional-Development/Regional-Conferences-and-Expositions/,,
"National Science Teachers Association (NSTA) Area Conference: ""Energize Science: Educate and Engage""","STEM, Science",National Science Teachers Association (NSTA),"Thursday, November 29, 2018","Saturday, December 1, 2018","Charlotte, NC","NSTA conferences offer the latest in science content, teaching strategy, and research to enhance and expand your professional growth. Take advantage of this unique opportunity to collaborate with science education leaders and your peers. Each year, NSTA hosts a national conference on science education (in the spring), three area conferences (in the fall), and a STEM Forum & Expo.",http://www.nsta.org/conferences/area3.aspx,,
Competing Visions of Human Rights: Questions for U.S. Policy,"Pedagogy, Humanities, History, Global Studies",Brown University,"Friday, November 30, 2018","Sunday, December 2, 2018","Chicago, IL","The session provides an introduction to the Choices approach for teaching about Human Rights issues around the world, and the U.S. response to Human Rights violations. Participants will conduct activities from the Choices unit on Human Rights (provided) and will discuss ways to implement the unit and accompanying videos in their classroom.",http://www.choices.edu/event/competing-visions-human-rights-questions-u-s-policy/,,
It’s More than Maps: Incorporating Choices’ Geography Series into Classrooms,"Pedagogy, Humanities, History, Global Studies",Brown University,"Friday, November 30, 2018",,"Chicago, IL","From Afghanistan to the Rohingya, explore Choices’ Geography Series and experience inquiry-based lessons from the Brazil, Immigration, and Nigeria units. Additional geography-related resources provided.",http://www.choices.edu/event/maps-incorporating-choices-geography-series-classrooms/,,
98th Annual NCSS Conference,"Pedagogy, Humanities, History, Global Studies",National Council for the Social Studies,"Friday, November 30, 2018","Thursday, December 6, 2018","Chicago, IL","All of Chicago's history, culture, and traditions will be on display at the 98th NCSS Annual Conference.  NCSS returns to the city for its first appearance in 15 years for the world's largest and most comprehensive social studies professional development conference.  Join more than 3,000 of your social studies colleagues to share the most current knowledge, ideas, research and expertise in social studies education, and experience all that Chicago has to offer.",https://www.socialstudies.org/conference,,
Teaching American History: Online Webinars - Abraham Lincoln vs. Stephen A. Douglas – Great American Debates,"History, Humanities",Ashbrook Center at Ashland University,"Saturday, December 1, 2018",,Online,"The seven Lincoln-Douglas debates are, arguably, the most famous literal debates in American history, with the two men going into depth on subjects of both immediate and enduring importance in American politics and law.

Suggested Readings
House Divided Speech, June 1858, Abraham Lincoln
Homecoming Speech at Chicago, July 1858, Stephen A. Douglas
The Lincoln-Douglas Debates: First Debate, 21 August 1858, Ottawa, IL

Scholars
Christopher Burkett, Ashland University
Jason Stevens, Ashland University",http://teachingamericanhistory.org/event/webinar-abraham-lincoln-vs-stephen-a-douglas-great-american-debates/,,
"Power Session: Nigeria: History, Identity, and Change","Pedagogy, Humanities, History, Global Studies",Brown University,"Saturday, December 1, 2018",,"Chicago, IL","The session provides a short introduction to the newest Choices unit, Nigeria: History, Identity, and Change. Participants will conduct one activity from the unit and will discuss ways to implement the unit and accompanying videos into their classroom.",http://www.choices.edu/event/power-session-nigeria-history-identity-change/,,
Engaging Students in International Issues: The Choices Approach,"Pedagogy, Humanities, History, Global Studies",Brown University,"Tuesday, December 4, 2018",,"Washington, DC","Our workshops are interactive, so be ready to be engaged and inspired!

Participants will be completely immersed in United Nations: Challenges and Change, and will examine parts of A New Nation. Both units are provided. Participants will discuss ways to adapt these units to specific classroom goals. The workshop will also highlight free resources on the Choices website.

Co-Sponsored by DACOR, An Organization of Foreign Affairs Professionals",http://www.choices.edu/event/washington-2018/,,
"Workshop: Teaching Boys, Teaching Girls: Gender's Role in Learning","Diversity/Equity/Inclusion, Gender Studies",Association of Independent Schools New England (AISNE),"Wednesday, December 5, 2018",,"Brookline, MA","Presented by: Michael Thompson and Meg Stowe

This is a two-part workshop for teachers and leaders eager to dig deeply into the latest thinking about the role of gender in the classroom.

Participants will learn how to:
Challenge restrictive stereotypes that hold students back
Leverage data-driven best practices in the classroom
Recognize unique strengths and developmental stages of girls and boys",https://www.aisne.org/events,,
National Summit on Education Reform,"Pedagogy, Leadership",The Foundation for Excellence in Education,"Wednesday, December 5, 2018","Friday, December 7, 2018","Washington, DC","Organized by the Foundation for Excellence in Education (ExcelinEd), the summit is the nation’s premier gathering of education reformers. It provides state and local policymakers, education leaders and advocates with comprehensive information on evolving laws, new trends, successful policies and the latest innovations that are transforming education for the 21st century.

Last year’s National Summit was attended by more than 900 education leaders from 45 states. General session speakers included 66th U.S. Secretary of State and ExcelinEd Board Member Dr. Condoleezza Rice, President of the American Enterprise Institute Dr. Arthur C. Brooks and 2013 TED Talk prize winner Dr. Sugata Mitra.

Together with a first-class lineup of notable keynote and general session speakers, strategy workshops cover a variety of topics that feature panels of policy experts, local education leaders and state legislative leaders. By learning what is working— and not working— in other states and school districts, attendees can return home better informed and prepared to implement policies that will advance the achievement of their students.
",http://www.excelined.org/national-summit/ ,,
Engaging Students in International Issues: The Choices Approach,"Pedagogy, Humanities, History, Global Studies",Brown University,"Thursday, December 6, 2018",,"Waterford, MI","Our workshops are completely interactive, so be ready to be engaged and inspired!

Participants will be introduced to the Choices Program’s award-winning resources and approach to teaching about contested issues and exploring multiple perspectives.

Teachers will be immersed in Immigration and the U.S. Policy Debate unit and will examine parts of The U.S. Role in a Changing World unit (provided). We will discuss ways to adapt these units to specific classroom goals.

Participants will also have the opportunity to network with colleagues in social studies education from across the state.

Hosted by Oakland Schools",http://www.choices.edu/event/engaging-students-international-issues-choices-approach-mi-10-6/,,
Growing Up Mindful,"Counseling, Health, Pedagogy",Learning & The Brain,"Thursday, December 6, 2018",,"White Plains, NY","Introducing mindfulness into the lives of our children and teenagers is perhaps the greatest gift we can offer. Mindfulness builds emotional intelligence, boosts happiness, increases curiosity and engagement, reduces anxiety and depression, soothes the pain of trauma, and helps kids (and adults) focus, learn,and make better choices. Join Dr. Christopher Willard in this one-day seminar on bringing mindfulness to children and teens in the classroom, clinic, and beyond. Dr. Willard will shave proven practices and share how to integrate these practices into your classroom and schools. You will examine the research behind mindfulness, including the latest from advances in the neurobiology of learning and emotions. You will learn how to harness the benefits of present-focused awareness for students, including at-risk youth and those with special needs. Discover ways to incorporate mindfulness into a broad range of activities, such as movement, music, games, writing, art, and more, for attention spans from 30 seconds to 30 minutes.

This seminar runs from 8:15 am to 2:30 pm at the Crowne Plaza White Plains - Downtown.

LEARNING OBJECTIVES
Participants will be able to:
 
• Discover ways to explain mindfulness to children and get them to buy into mindfulness practice and its benefits
• Understand the neuroscience of mindfulness and the effects of mind-body interventions on the stress response
• Practice simple, short, effective mindfulness practices to use in the classroom, practice, and with various children's activities
• Explore new ways to engage kinds and increase their attention
• Engage present-focused awareness to increase balance, calm, and resilience
• Examine ways to integrate mindfulness systemically into your school, classtoom, or clinic
 
 
WHO SHOULD ATTEND
This seminar is geared toward all levels of educators and clinicians who are interested in mindfulness including K-12 educators, special educators, school psychologists, and occupational and physical therapists.",https://www.learningandthebrain.com/Event-385/Growing-Up-Mindful/,,
Engaging Students in the Study of Climate Change: The Choices Approach,"Pedagogy, Humanities, History, Global Studies, Sustainability, Science",Brown University,"Friday, December 7, 2018",,"Waterford, MI","Our workshops are completely interactive, so be ready to be engaged and inspired!
Participants will be introduced to the Choices Program’s award-winning resources and approach to teaching about contested issues and exploring multiple perspectives.

Teachers will be immersed in Climate Change and Questions of Justice (provided.) We will discuss how this unit addresses the Next Generation Science Standards, and ways to adapt the unit to specific classroom goals. A review of free resources available from the Choices Program will also be provided.

Participants will learn about other opportunities to engage students in content on Climate Change and network with colleagues in science and social studies education from across the state.

Hosted by Oakland, MI Schools",http://www.choices.edu/event/engaging-students-study-climate-change-choices-approach/,,
Teaching the Teenage Brain: Aligning Your Classroom Practice With Adolescent Brain Development,"Pedagogy, Science, Health, Counseling",Learning & The Brain,"Friday, December 7, 2018",,"White Plains, NY","Why are teenagers so hard to understand? This lively and interactive seminar explores current brain research to explain cognitive and emotional developments in middle and high school students. Through the field of neuroscience, you will explore the development of neural networks and myelination to better understand teenage thinking and feeling. In the field of psychology, you will consider the importance of working memory, self-control, attention, and motivation – and their key differences in teenagers. These scientific explorations will inform your teaching practice and offer practical classroom strategies. The workshop will also consider research into sleep, the unique sleep needs and schedules of adolescents, and their implications for current school schedules. Finally, you investigate the surprising and often contradictory research into technology usage and video games that keep adolescents busy and (dis-)connected. You will leave with a deeper understanding of adolescent brains and minds, and ways to better serve them in school.

This seminar runs from 8:15 am to 2:30 pm at the Crowne Plaza White Plains - Downtown.

LEARNING OBJECTIVES
Participants will be able to:
 
• Explain the neural changes behind adolescent emotional development, especially the ""imbalance hypothesis""
• Outline the trajectory of teenage cognitive development, especially working memory, long-term memory, processing speed, and self-control
• Realign teaching strategies, school policies, and schedules to fit with teenage brain development and learning
• Enhance students' self-control with research-supported strategies
• Explain the benefits and detriments of adolescent technology use, including academic technology, social media, and video games
• Understand the limitations of scientific research, in order to use it most effectively in the classroom
 
 
WHO SHOULD ATTEND
This seminar is applicable for 6-12 teachers of all disciplines, academic administrators, instructional leaders, learning specialists, and middle and high school counselors
 ",https://www.learningandthebrain.com/Event-382/Teaching-the-Teenage-Brain/,,
NEASC Annual Meeting and Conference: Leading Change,Leadership,New England Association of Schools and Colleges (NEASC),"Wednesday, December 12, 2018","Tuesday, December 18, 2018","Boston, MA","This year's NEASC Annual Meeting and Conference will bring together some of the most prominent visionaries and thought leaders in education for a three-day conference on Leading Change. Join us in December to attend informative workshops, to hear outstanding keynote addresses, and to exchange ideas and resources with colleagues. A broad array of presentations for both Higher Education and K-12 learning communities will challenge you to develop new strategies for institutional improvement and transformation. ",https://www.neasc.org/annual-meeting,,
Teaching American History: Online Webinars - Letter to Roger Weightman – Documents in Detail,"History, Humanities",Ashbrook Center at Ashland University,"Wednesday, December 19, 2018",,Online,"Focus Document
Letter to Roger C. Weightman, Thomas Jefferson, 1826

Complementary Documents
Declaration of Independence, 1776
Letter to Henry Lee, Thomas Jefferson, 1825

Scholars
Dr. John Moser, Ashland University
Dr. Todd Estes, Oakland University
Dr. Rob McDonald, United States Military Academy",http://teachingamericanhistory.org/event/webinar-letter-to-roger-weightman-documents-in-detail/,,
MLA convention 2019,"Humanities, Literature, Writing, Language, Pedagogy",Modern Language Association (MLA),"Thursday, January 3, 2019","Sunday, January 6, 2019","Chicago, IL","The largest scholarly meeting in the humanities, the MLA convention brings together thousands of members to discuss new research, participate in workshops, and build their professional networks.The 2017 convention featured nearly 800 sessions on language, literature, writing, pedagogy, media studies, and much more. ",https://www.mla.org/Convention,,
MassCUE Datapalooza 2019,"Technology, STEM, Leadership, School Design, Pedagogy",MassCUE,"Tuesday, January 8, 2019",,"Foxborough, MA","The MassCUE Datapalooza event focuses on educators sharing best practices for using data in the classroom, school, or district. The event will start with a morning keynote followed by a series of presentations (55 minutes long) throughout the day. We are encouraging educators to attend this event in teams that consist of school and district administrators, technology directors, technology integration specialists, and classroom teachers or specialists. Presentations will demonstrate on how schools and/or districts effectively use data to improve teaching and learning.",http://www.masscue.org/event/masscue-datapalooza-2019/,,
Key West Literary Seminar 2018: Writers of the Caribbean,"Literature, Writing, Humanities",Key West Literary Seminar (KWLS),"Thursday, January 10, 2019","Sunday, January 13, 2019","Key West, FL","Our flagship program is the annual Seminar, a four-day event that explores a unique literary theme each January, where readers from around the world enjoy presentations by some of the best writers of our time. 

In our Writers’ Workshop Program, also in January, writers of all levels meet in small groups with esteemed faculty (such as former Poet Laureate Billy Collins),  to share their work and explore the craft of writing. 

A Scholarship Program reduces fees for teachers and librarians, and recognizes the work of outstanding emerging writers. 

Exclusive recordings from the Seminar over thirty years are available in the Audio Archive, while our online journal, Littoral, features news, essays, photographs, and other resources that document Key West’s rich literary history.",http://www.kwls.org/,,
Teaching American History: Online Webinars - Secessionists vs. Unionists – Great American Debates,"History, Humanities",Ashbrook Center at Ashland University,"Saturday, January 12, 2019",,Online,"Waged in Congress, state governments, newspaper editorials, and within and between family and friends, the prelude to the Civil War was, in part, a debate over union vs. state, of a national identity vs. a local one, enflamed by the decades-old debate over slavery.

Scholars
Christopher Burkett, Ashland University
Scott Yenor, Boise State University",http://teachingamericanhistory.org/event/webinar-secessionists-vs-unionists-great-american-debates/,,
Brave New Worlds: Augmented and Virtual Reality in Teaching and Learning,"STEM, Technology, Innovation",Wildwood School,"Tuesday, January 15, 2019",,"Los Angeles, CA","Isn't it time you gave it a try?
This half-day workshop immerses participants in Augmented Reality and Virtual Reality (AR/VR) learning environments: What’s available, examples of student work, and how to bring it to one’s own practice—across the curriculum.

Participants will experience the AR/VR platforms of Metaverse, Google Expeditions, and ARkit,
Try devices like The Oculus Rift, HoloLens, and more.
No experience with AR/VR necessary—just a healthy curiosity.

For grades K-12",https://www.wildwood.org/page.cfm?p=1627#Brave,,
Key West Literary Seminar: Writers Workshop Program,,Key West Literary Seminar (KWLS),"Tuesday, January 15, 2019","Saturday, January 19, 2019","Key West, FL","Our flagship program is the annual Seminar, a four-day event that explores a unique literary theme each January, where readers from around the world enjoy presentations by some of the best writers of our time. 

In our Writers’ Workshop Program, also in January, writers of all levels meet in small groups with esteemed faculty (such as former Poet Laureate Billy Collins),  to share their work and explore the craft of writing. 

A Scholarship Program reduces fees for teachers and librarians, and recognizes the work of outstanding emerging writers. 

Exclusive recordings from the Seminar over thirty years are available in the Audio Archive, while our online journal, Littoral, features news, essays, photographs, and other resources that document Key West’s rich literary history.",http://www.kwls.org/,,
Advisory is Essential 201,"Leadership, Pedagogy, School Design, Counseling",Wildwood School,"Thursday, January 17, 2019",,"Los Angeles, CA","Already have a program in place that needs a tune-up?

Our advanced, 1-day session provides strategies to strengthen and sustain your existing advisory program, as well as to hone your facilitation skills. Participants will:

Observe Wildwood advisories

Focus on applying current Advisory research and best practices

Apply Advisory and classroom facilitation protocols to strengthen their existing programs",https://www.wildwood.org/page.cfm?p=1627#Adv201,,
Teaching American History: Online Webinars - Speech on the Repeal of the Missouri Compromise – Documents in Detail,"History, Humanities",Ashbrook Center at Ashland University,"Wednesday, January 23, 2019",,Online,"Focus Document
Speech on the Repeal of the Missouri Compromise, Abraham Lincoln, 1854

Complementary Documents
House Divided Speech, Abraham Lincoln, 1858
Address at Cooper Institute, Abraham Lincoln, 1860

Scholars
Dr. John Moser, Ashland University
Dr. Lucas Morel, Washington and Lee University
Dr. Dan Monroe, Millikin University",http://teachingamericanhistory.org/event/webinar-speech-on-the-repeal-of-the-missouri-compromise-documents-in-detail/,,
BETT,"STEM, Technology, Pedagogy, Leadership, Innovation",Bett,"Wednesday, January 23, 2019","Saturday, January 26, 2019","London, England","With over 30,000 attendees from all around the world and thousands of exhibitors demonstrating the latest in EdTech, BETT is the world’s largest EdTech conference. At Bett we believe in creating a better future by transforming education. Our mission is to bring together people, ideas, practices and technologies so that educators and learners can fulfil their potential.
",http://www.bettshow.com/,,
ALA Midwinter Meeting 2019,Library,American Library Association (ALA),"Friday, January 25, 2019","Tuesday, January 29, 2019","Seattle, WA","2019 ALA Midwinter Meeting Highlights include:

Symposium on the Future of Libraries and News You Can Use. (both included in your full-conference registration)!
 
New technologies, publications and services from expert organizations on the Exhibits Floor!
 
Awards, announcements and 100s of authors!
 
In-depth learning and educational sessions!
 
Unlimited connections with colleagues from all types of libraries!",http://2019.alamidwinter.org/,,
Athletic Directors Conference,"Athletics, Health",SAIS (Serving and Accrediting Independent Schools),"Sunday, January 27, 2019","Tuesday, January 29, 2019","Nashville, TN","A professional development opportunity for new and experienced athletic directors from across the region. Learn alongside colleagues as you discuss leadership, communications, and best practices unique to the culture of an independent school athletic department. Take advantage of this focused workshop to discover solutions to current issues and stay informed on the latest trends. ",https://www.sais.org/page/2019Calendar,,
Academic Support Conference,Counseling,SAIS (Serving and Accrediting Independent Schools),"Sunday, January 27, 2019","Tuesday, January 29, 2019","Nashville, TN","A professional development opportunity for all those who offer academic support in an independent school. Classroom teachers, learning specialists, and directors of academic support are all invited to learn together at this new conference that will feature the latest research, curriculum, instructional strategies, and best practices for supporting all learners in an independent school. Network with others in the field to discover practical solutions and strategies to foster student success. ",https://www.sais.org/page/2019Calendar,,
The Future of Education Technology (FETC),"STEM, Technology",FETC,"Sunday, January 27, 2019","Wednesday, January 30, 2019","Orlando, FL","The Future of Education Technology Conference (FETC), the largest, national, independent education technology conference, annually attracts thousands of education and technology leaders from around the world. Delivering strategies and best practices for student success and schoolwide advancement, FETC is known as one of the nation’s premier education technology events! Recognized for its outstanding program year after year, FETC provides CTOs, CIOs, Innovation Directors, Special Ed/Pupil Services Directors, Early Childhood Directors, Media Specialists, Technologists, Administrators and other Educators, the opportunity to explore the most effective integration of technology across the curriculum — from preK-12 — through premium sessions, intensive workshops, various concurrent sessions, live demonstrations of several hundred hardware and software products, plus much more.",http://fetc.org/,,
